[14:22:29 - main] [Cooja.java:3181] [WARN] - JAVA_HOME environment variable not set, Cooja motes may not compile
[14:22:29 - AWT-EventQueue-0] [Cooja.java:2865] [INFO] - External tools default settings: /external_tools_linux_64.config
[14:22:29 - AWT-EventQueue-0] [Cooja.java:2895] [INFO] - External tools user settings: /root/.cooja.user.properties
[14:22:38 - AWT-EventQueue-0] [Simulation.java:420] [INFO] - Simulation random seed: 123456
[14:22:38 - AWT-EventQueue-0] [Visualizer.java:256] [INFO] - Registered external visualizer: org.contikios.cooja.plugins.skins.DGRMVisualizerSkin
[14:22:58 - AWT-EventQueue-0] [CompileContiki.java:140] [INFO] - > make udp-server.sky TARGET=sky 
[14:23:01 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-server.sky
[14:23:11 - AWT-EventQueue-0] [CompileContiki.java:140] [INFO] - > make udp-client.sky TARGET=sky 
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:23 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
[14:23:24 - AWT-EventQueue-0] [MspMote.java:233] [INFO] - Loading firmware from: /home/ubuntu/contiki3-11/examples/ipv6/rpl-udp/udp-client.sky
